service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
27_DIMANCHE,0,0,0,0,0,0,1,20251012,20251012
27_L-MA-ME-J,1,1,1,1,0,0,0,20251006,20251009
27_MERCREDI,0,0,1,0,0,0,0,20251008,20251008
27_SAMEDI,0,0,0,0,0,1,0,20251011,20251011
27_SEMAINE,1,1,1,1,1,0,0,20251006,20251010
27_VENDREDI,0,0,0,0,1,0,0,20251010,20251010
28_L-MA-ME-J,1,1,1,1,0,0,0,20251020,20251023
28_SEMAINE,1,1,1,1,1,0,0,20251020,20251024
28_VENDREDI,0,0,0,0,1,0,0,20251024,20251024
29_DIMANCHE,0,0,0,0,0,0,1,20251101,20251101
30_DIMANCHE,0,0,0,0,0,0,1,20251111,20251111
31_DIMANCHE,0,0,0,0,0,0,1,20251123,20251123
31_SAMEDI,0,0,0,0,0,1,0,20251122,20251122
31_SEMAINE,1,1,1,1,1,0,0,20251121,20251121
31_VENDREDI,0,0,0,0,1,0,0,20251121,20251121
