stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
1221,1221,14 Juillet,49.876621,2.282502,0
2,2,14 Juillet,49.876389,2.282197,0
5,5,3ème D.I.,49.880871,2.312705,0
6,6,3ème D.I.,49.881084,2.314066,0
3,3,8 Mai 1945,49.895931,2.334643,0
4,4,8 Mai 1945,49.896164,2.334115,0
7,7,Espace Alliance,49.905968,2.270988,0
8,8,Espace Alliance,49.905788,2.271614,0
9,9,Abbé de l'Epée,49.899323,2.318964,0
10,10,Abbé de l'Epée,49.899368,2.318798,0
11,11,Abbé Hénocque,49.910206,2.29534,0
12,12,Abbé Hénocque,49.910423,2.296216,0
17,17,Alain Colas,49.914696,2.337799,0
18,18,Alain Colas,49.914669,2.337812,0
19,19,Amiral Courbet,49.844795,2.384409,0
20,20,Amiral Courbet,49.844753,2.383715,0
732,732,ADAPEI,49.934357,2.273705,0
21,21,AFPA,49.930351,2.272917,0
22,22,AFPA,49.930271,2.273084,0
23,23,Anatole France,49.86945,2.241502,0
24,24,Anatole France,49.869064,2.241364,0
25,25,André Georges,49.882603,2.25144,0
26,26,André Georges,49.882305,2.252219,0
936,936,Aiguillon,49.87619,2.395914,0
27,27,Bout de Ville,49.939865,2.361628,0
28,28,Bout de Ville,49.939651,2.361517,0
29,29,Les Alençons,49.918022,2.358461,0
734,734,Les Alliés,49.868652,2.358607,0
31,31,Les Alliés,49.868256,2.358065,0
32,32,Allonville,49.941803,2.363841,0
33,33,ZAC Allonville,49.934551,2.362738,0
34,34,ZAC Allonville,49.934486,2.362738,0
15,15,Alsace Lorraine,49.894066,2.308737,0
16,16,Alsace Lorraine,49.894283,2.309223,0
35,35,André Malraux,49.868622,2.252131,0
36,36,André Malraux,49.86858,2.2517,0
962,962,Amazon,49.854641,2.398,0
30,30,Amazon,49.85445,2.398361,0
1200,1200,Ambonne,49.925072,2.257112,0
980,980,Ambonne,49.925117,2.256527,0
982,982,Ambroise Paré,49.879471,2.267549,0
983,983,Ambroise Paré,49.879559,2.267938,0
740,740,APAVE,49.941204,2.269732,0
741,741,APAVE,49.941116,2.26937,0
46,46,Aquapôle,49.871124,2.301957,0
47,47,Aquapôle,49.871063,2.302207,0
48,48,Aquapôle,49.871761,2.300942,0
984,984,Aquapôle,49.871861,2.301095,0
39,39,Artois,49.911636,2.246372,0
40,40,Artois,49.911724,2.247359,0
657,657,Legrand d'Aussy,49.891781,2.312602,0
658,658,Legrand d'Aussy,49.89143,2.314117,0
42,42,A.Vasseur,49.848911,2.38015,0
43,43,A.Vasseur,49.849026,2.379956,0
985,985,Balzac,49.910301,2.31636,0
986,986,Balzac,49.910465,2.316235,0
53,53,Place la Barre,49.910458,2.257399,0
987,987,Place la Barre,49.910187,2.257956,0
1222,1222,Basse Selle,49.855114,2.234557,0
51,51,Baudrez,49.899117,2.323635,0
52,52,Baudrez,49.899143,2.323537,0
54,54,Dorgelès,49.84943,2.400827,0
55,55,Dorgelès,49.849251,2.400521,0
56,56,Beauquesne,49.949429,2.313826,0
57,57,Beauquesne,49.949902,2.31416,0
58,58,Beaumarchais,49.909191,2.325801,0
59,59,Beaumarchais,49.909908,2.32555,0
988,988,Beffroi,49.895519,2.296241,0
61,61,Bel Air,49.867908,2.335034,0
62,62,Bel Air,49.867996,2.335006,0
65,65,Château d'Eau,49.968037,2.302362,0
66,66,Château d'Eau,49.968071,2.302321,0
2043,2043,Berlioz,49.910046,2.302472,0
2044,2044,Berlioz,49.910183,2.302694,0
