trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,cars_allowed
15-10-3-5-074201,10,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-10-1-5-074701,10,15_SAMEDI,C. CIAL. GLISY,,1,,,,,
15-10-1-5-084200,10,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-10-4-5-084701,10,15_SAMEDI,C. CIAL. GLISY,,1,,,,,
15-10-4-5-094200,10,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-10-1-5-094601,10,15_SAMEDI,C. CIAL. GLISY,,1,,,,,
15-10-1-5-104200,10,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-10-4-5-104601,10,15_SAMEDI,C. CIAL. GLISY,,1,,,,,
15-10-4-5-114100,10,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-10-1-5-114601,10,15_SAMEDI,C. CIAL. GLISY,,1,,,,,
15-10-1-5-124100,10,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-10-4-5-124601,10,15_SAMEDI,C. CIAL. GLISY,,1,,,,,
15-10-4-5-133900,10,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-10-1-5-134601,10,15_SAMEDI,C. CIAL. GLISY,,1,,,,,
15-10-1-5-144000,10,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-10-4-5-144601,10,15_SAMEDI,C. CIAL. GLISY,,1,,,,,
15-10-4-5-154000,10,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-10-1-5-154601,10,15_SAMEDI,C. CIAL. GLISY,,1,,,,,
15-10-1-5-163800,10,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-10-4-5-164501,10,15_SAMEDI,C. CIAL. GLISY,,1,,,,,
15-10-4-5-173800,10,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-10-1-5-174501,10,15_SAMEDI,C. CIAL. GLISY,,1,,,,,
