service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SCO:H25_26_S-PHISEMPS-Semaine-00,1,1,1,1,1,0,0,20251002,20260401
SCO:H25_26_S-PHISEMPS-Semaine-00-1101100,1,1,0,1,1,0,0,20251002,20260331
SCO:H25_26_S-PHISEMPS-Semaine-00-0111100,0,1,1,1,1,0,0,20251002,20260401
SCO:H25_26_S-PHISEMPS-Semaine-00-1000000,1,0,0,0,0,0,0,20251006,20260330
SCO:H25_26_S-PHISEMPS-Semaine-00-0001100,0,0,0,1,1,0,0,20251002,20260327
SCO:H25_26_S-PHISEMPS-Semaine-00-0000100,0,0,0,0,1,0,0,20251003,20260327
SCO:H25_26_S-PHISAM-Samedi-00,0,0,0,0,0,1,0,20251004,20260328
AMI:H25_26-PHISEMPS-Semaine-01,1,1,1,1,1,0,0,20251002,20260401
AMI:H25_26-PHISEMPS-Semaine-01-0010000,0,0,1,0,0,0,0,20251008,20260401
AMI:H25_26-PHISEMPS-Semaine-01-0000100,0,0,0,0,1,0,0,20251003,20260327
AMI:H25_26-PHISEMPS-Semaine-01-1111000,1,1,1,1,0,0,0,20251002,20260401
AMI:H25_26-PHISAM-Samedi-01,0,0,0,0,0,1,0,20251004,20260328
AMI:H25_26-PHIDIM-Dimanche-03,0,0,0,0,0,0,1,20251005,20260329
AMI:H25_26-PHISEMVS-Semaine-02,1,1,1,1,1,0,0,20251020,20260227
AMI:H25_26-PHISEMVS-Semaine-02-0000100,0,0,0,0,1,0,0,20251024,20260227
AMI:H25_26-PHISEMVS-Semaine-02-1111000,1,1,1,1,0,0,0,20251020,20260226
AMI:H25_26-PHISEMPS-Semaine-02,0,0,0,0,1,0,0,20251121,20251219
AMI:H25_26-PHISAM-Samedi-02,0,0,0,0,0,1,0,20251122,20251220
AMI:H25_26-PHIDIM-Dimanche-04,0,0,0,0,0,0,1,20251123,20251221
AMI:H25_26-PHI1NOV-Dimanche-02,0,0,0,0,0,1,0,20251101,20251101
RSG:Semaineren,1,1,1,1,1,0,0,20251002,20260401
RSG:Samediren,0,0,0,0,0,1,0,20251004,20260328
RSG:Dimancheren,0,0,0,0,0,0,1,20251005,20260329
RSG:SemaineSren,1,1,1,1,1,1,0,20251002,20260401
RSG:Mercrediren,0,0,1,0,0,0,0,20251008,20260401
RSG:Mardiren,0,1,0,0,0,0,0,20251007,20260331
RSG:LJVren,1,0,0,1,1,0,0,20251002,20260330
AMI:H25_26-PHIFHD-Dimanche-01,0,0,0,1,0,0,0,20251111,20260101
