service_id,date,exception_type
SCO:H25_26_S-PHISEMPS-Semaine-00,20251024,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20251023,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20251022,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20251021,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20251020,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20251031,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20251030,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20251029,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20251028,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20251027,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20251111,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20251226,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20251225,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20251224,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20251223,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20251222,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20260102,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20260101,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20251231,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20251230,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20251229,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20260220,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20260219,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20260218,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20260217,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20260216,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20260227,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20260226,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20260225,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20260224,2
SCO:H25_26_S-PHISEMPS-Semaine-00,20260223,2
SCO:H25_26_S-PHISEMPS-Semaine-00-1101100,20251024,2
SCO:H25_26_S-PHISEMPS-Semaine-00-1101100,20251023,2
SCO:H25_26_S-PHISEMPS-Semaine-00-1101100,20251021,2
SCO:H25_26_S-PHISEMPS-Semaine-00-1101100,20251020,2
