object_type,object_id,object_system,object_code
stop_area,AMI:SA:place_ABEP,source,place_ABEP
stop_area,AMI:SA:place_ACOL,source,place_ACOL
stop_area,AMI:SA:place_AFRA,source,place_AFRA
stop_area,AMI:SA:place_AIGU,source,place_AIGU
stop_area,AMI:SA:place_ALBO,source,place_ALBO
stop_area,AMI:SA:place_ALEN,source,place_ALEN
stop_area,AMI:SA:place_ALLO,source,place_ALLO
stop_area,AMI:SA:place_ALOR,source,place_ALOR
stop_area,AMI:SA:place_AMAL,source,place_AMAL
stop_area,AMI:SA:place_AMBO,source,place_AMBO
stop_area,AMI:SA:place_ARTO,source,place_ARTO
stop_area,AMI:SA:place_BASS,source,place_BASS
stop_area,AMI:SA:place_BAUD,source,place_BAUD
stop_area,AMI:SA:place_BEAQ,source,place_BEAQ
stop_area,AMI:SA:place_BEAU,source,place_BEAU
stop_area,AMI:SA:place_BEFF,source,place_BEFF
stop_area,AMI:SA:place_BERC,source,place_BERC
stop_area,AMI:SA:place_BERI,source,place_BERI
stop_area,AMI:SA:place_BERT,source,place_BERT
stop_area,AMI:SA:place_BLAN,source,place_BLAN
stop_area,AMI:SA:place_BLSN,source,place_BLSN
stop_area,AMI:SA:place_BLTA,source,place_BLTA
stop_area,AMI:SA:place_BRA,source,place_BRA
stop_area,AMI:SA:place_CADE,source,place_CADE
stop_area,AMI:SA:place_CAGR,source,place_CAGR
stop_area,AMI:SA:place_CARM,source,place_CARM
stop_area,AMI:SA:place_CCGL,source,place_CCGL
stop_area,AMI:SA:place_CCN,source,place_CCN
stop_area,AMI:SA:place_CEGL,source,place_CEGL
stop_area,AMI:SA:place_CHAU,source,place_CHAU
stop_area,AMI:SA:place_CHPA,source,place_CHPA
stop_area,AMI:SA:place_CIMA,source,place_CIMA
stop_area,AMI:SA:place_CIR,source,place_CIR
stop_area,AMI:SA:place_CIT,source,place_CIT
stop_area,AMI:SA:place_CJAN,source,place_CJAN
stop_area,AMI:SA:place_CJML,source,place_CJML
stop_area,AMI:SA:place_CJOC,source,place_CJOC
stop_area,AMI:SA:place_CJVE,source,place_CJVE
stop_area,AMI:SA:place_CLAR,source,place_CLAR
stop_area,AMI:SA:place_CMAD,source,place_CMAD
stop_area,AMI:SA:place_CMAR,source,place_CMAR
stop_area,AMI:SA:place_CMPG,source,place_CMPG
stop_area,AMI:SA:place_CNEM,source,place_CNEM
stop_area,AMI:SA:place_COIS,source,place_COIS
stop_area,AMI:SA:place_CONT,source,place_CONT
stop_area,AMI:SA:place_COUR,source,place_COUR
stop_area,AMI:SA:place_CRIV,source,place_CRIV
stop_area,AMI:SA:place_CSIN,source,place_CSIN
stop_area,AMI:SA:place_CSU1,secondary_id,AMI:SA:place_CSU2
stop_area,AMI:SA:place_CSU1,source,place_CSU1
stop_area,AMI:SA:place_CSU1,source,place_CSU2
stop_area,AMI:SA:place_CTCH,source,place_CTCH
stop_area,AMI:SA:place_CXRO,source,place_CXRO
stop_area,AMI:SA:place_DEBU,source,place_DEBU
stop_area,AMI:SA:place_DECO,source,place_DECO
stop_area,AMI:SA:place_DEL,source,place_DEL
stop_area,AMI:SA:place_DESM,source,place_DESM
stop_area,AMI:SA:place_DONJ,source,place_DONJ
stop_area,AMI:SA:place_DORG,source,place_DORG
stop_area,AMI:SA:place_ECAU,source,place_ECAU
