object_id,object_system,object_code
AMI:SP:14JUI1,amiens_rt,1221
AMI:SP:14JUI1,source,14JUI1
AMI:SP:14JUI2,amiens_rt,2
AMI:SP:14JUI2,source,14JUI2
AMI:SP:3D.I.N1,amiens_rt,5
AMI:SP:3D.I.N1,source,3D.I.N1
AMI:SP:3D.I.N2,amiens_rt,6
AMI:SP:3D.I.N2,source,3D.I.N2
AMI:SP:ABATTN1,amiens_rt,7
AMI:SP:ABATTN1,source,ABATTN1
AMI:SP:ABATTN2,amiens_rt,8
AMI:SP:ABATTN2,source,ABATTN2
AMI:SP:ACOUR1,amiens_rt,19
AMI:SP:ACOUR1,source,ACOUR1
AMI:SP:ACOUR2,amiens_rt,20
AMI:SP:ACOUR2,source,ACOUR2
AMI:SP:AFRAN1,amiens_rt,23
AMI:SP:AFRAN1,source,AFRAN1
AMI:SP:AFRAN2,amiens_rt,24
AMI:SP:AFRAN2,source,AFRAN2
AMI:SP:AGEOR1,amiens_rt,25
AMI:SP:AGEOR1,source,AGEOR1
AMI:SP:AGEOR2,amiens_rt,26
AMI:SP:AGEOR2,source,AGEOR2
AMI:SP:AMALR1,amiens_rt,35
AMI:SP:AMALR1,source,AMALR1
AMI:SP:AMALR2,amiens_rt,36
AMI:SP:AMALR2,source,AMALR2
AMI:SP:AQUAPN1,amiens_rt,46
AMI:SP:AQUAPN1,source,AQUAPN1
AMI:SP:AQUAPN2,amiens_rt,47
AMI:SP:AQUAPN2,source,AQUAPN2
AMI:SP:ARTOI1,amiens_rt,39
AMI:SP:ARTOI1,source,ARTOI1
AMI:SP:ARTOI2,amiens_rt,40
AMI:SP:ARTOI2,source,ARTOI2
AMI:SP:AVASS1,amiens_rt,42
AMI:SP:AVASS1,source,AVASS1
AMI:SP:AVASS2,amiens_rt,43
AMI:SP:AVASS2,source,AVASS2
AMI:SP:BARREN1,amiens_rt,53
AMI:SP:BARREN1,source,BARREN1
AMI:SP:BARREN2,amiens_rt,987
AMI:SP:BARREN2,source,BARREN2
AMI:SP:BASSELL,source,BASSELL
AMI:SP:BDORG1,amiens_rt,54
AMI:SP:BDORG1,source,BDORG1
AMI:SP:BDORG2,amiens_rt,55
AMI:SP:BDORG2,source,BDORG2
AMI:SP:BEAQU1,amiens_rt,56
AMI:SP:BEAQU1,source,BEAQU1
AMI:SP:BEAQU2,amiens_rt,57
AMI:SP:BEAQU2,source,BEAQU2
AMI:SP:BLTAC1,amiens_rt,78
AMI:SP:BLTAC1,source,BLTAC1
AMI:SP:BLTAC2,amiens_rt,79
AMI:SP:BLTAC2,source,BLTAC2
AMI:SP:BRANLN1,amiens_rt,89
AMI:SP:BRANLN1,source,BRANLN1
AMI:SP:BRANLN2,amiens_rt,90
AMI:SP:BRANLN2,source,BRANLN2
AMI:SP:CAMIRO,amiens_rt,963
AMI:SP:CAMPI1,amiens_rt,100
AMI:SP:CAMPI1,source,CAMPI1
AMI:SP:CAMPI2,amiens_rt,101
AMI:SP:CAMPI2,source,CAMPI2
AMI:SP:CAMPUN1,amiens_rt,102
AMI:SP:CAMPUN1,source,CAMPUN1
AMI:SP:CAMPUN4,amiens_rt,105
AMI:SP:CAMPUN4,source,CAMPUN4
AMI:SP:CATEU1,amiens_rt,114
AMI:SP:CATEU1,source,CATEU1
AMI:SP:CATEU2,amiens_rt,115
AMI:SP:CATEU2,source,CATEU2
AMI:SP:CEGLIS,amiens_rt,127
AMI:SP:CEGLIS,source,CEGLIS
AMI:SP:CESEL1,amiens_rt,1166
AMI:SP:CESEL2,amiens_rt,1142
AMI:SP:CESEL3,amiens_rt,133
AMI:SP:CESEL3,source,CESEL3
AMI:SP:CETOUN1,amiens_rt,999
AMI:SP:CETOUN1,source,CETOUN1
AMI:SP:CETOUN2,amiens_rt,1000
AMI:SP:CETOUN2,source,CETOUN2
AMI:SP:CHARAN1,amiens_rt,1001
AMI:SP:CHARAN1,source,CHARAN1
AMI:SP:CHARAN2,amiens_rt,1002
AMI:SP:CHARAN2,source,CHARAN2
AMI:SP:CHARAN3,amiens_rt,80
AMI:SP:CHARAN3,source,CHARAN3
AMI:SP:CHARAN4,amiens_rt,81
AMI:SP:CHARAN4,source,CHARAN4
AMI:SP:CHATE1,amiens_rt,148
AMI:SP:CHATE1,source,CHATE1
AMI:SP:CHATE2,amiens_rt,149
AMI:SP:CHATE2,source,CHATE2
AMI:SP:CHLBAR,amiens_rt,152
AMI:SP:CHLBAR,source,CHLBAR
AMI:SP:CIMACN1,amiens_rt,160
AMI:SP:CIMACN1,source,CIMACN1
AMI:SP:CIMACN2,amiens_rt,161
AMI:SP:CIMACN2,source,CIMACN2
AMI:SP:CITAD4,amiens_rt,172
AMI:SP:CITAD4,source,CITAD4
AMI:SP:CJMLA1,amiens_rt,176
AMI:SP:CJMLA1,source,CJMLA1
AMI:SP:CJMLA2,amiens_rt,177
AMI:SP:CJMLA2,source,CJMLA2
AMI:SP:CJOCU2,amiens_rt,178
AMI:SP:CJOCU2,source,CJOCU2
AMI:SP:CJOCUR,amiens_rt,179
AMI:SP:CJOCUR,source,CJOCUR
AMI:SP:CJVER2,amiens_rt,181
AMI:SP:CJVER2,source,CJVER2
AMI:SP:CJVER3,amiens_rt,934
AMI:SP:CLASA,amiens_rt,2085
AMI:SP:CLJEA1,amiens_rt,186
AMI:SP:CLJEA1,source,CLJEA1
AMI:SP:CLJEA2,amiens_rt,187
AMI:SP:CLJEA2,source,CLJEA2
AMI:SP:CMADE1,amiens_rt,188
AMI:SP:CMADE1,source,CMADE1
AMI:SP:CMADE2,amiens_rt,189
AMI:SP:CMADE2,source,CMADE2
AMI:SP:COISY1,amiens_rt,196
AMI:SP:COISY1,source,COISY1
AMI:SP:COISY2,amiens_rt,197
AMI:SP:COISY2,source,COISY2
AMI:SP:COLBE1,amiens_rt,198
AMI:SP:COLBE2,amiens_rt,199
