stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code
AMI:SP:14JUI1,,14 Juillet,,2.282514,49.876625,,,0,AMI:SA:place_14JU,,,0,
AMI:SP:14JUI2,,14 Juillet,,2.282209,49.876392,,,0,AMI:SA:place_14JU,,,0,
AMI:SP:3D.I.N1,,3ème D.I.,,2.312717,49.880873,,,0,AMI:SA:place_3D.I,,,0,
AMI:SP:3D.I.N2,,3ème D.I.,,2.314078,49.881089,,,0,AMI:SA:place_3D.I,,,0,
AMI:SP:ABATTN1,,Espace Alliance,,2.271,49.90597,,,0,AMI:SA:place_ABAT,,,0,
AMI:SP:ABATTN2,,Espace Alliance,,2.271626,49.905791,,,0,AMI:SA:place_ABAT,,,0,
AMI:SP:ACOUR1,,Amiral Courbet,,2.384421,49.844799,,,0,AMI:SA:place_ACOU,,,0,
AMI:SP:ACOUR2,,Amiral Courbet,,2.383727,49.844754,,,0,AMI:SA:place_ACOU,,,0,
AMI:SP:AFRAN1,,Anatole France,,2.241514,49.869453,,,0,AMI:SA:place_AFRA,,,0,
AMI:SP:AFRAN2,,Anatole France,,2.241376,49.869067,,,0,AMI:SA:place_AFRA,,,0,
AMI:SP:AGEOR1,,André Georges,,2.251452,49.882605,,,0,AMI:SA:place_AGEO,,,0,
AMI:SP:AGEOR2,,André Georges,,2.252231,49.882309,,,0,AMI:SA:place_AGEO,,,0,
AMI:SP:AMALR1,,André Malraux,,2.252143,49.868626,,,0,AMI:SA:place_AMAL,,,0,
AMI:SP:AMALR2,,André Malraux,,2.251712,49.868581,,,0,AMI:SA:place_AMAL,,,0,
AMI:SP:AQUAPN1,,Aquapôle,,2.301969,49.871129,,,0,AMI:SA:place_AQUA,,,0,
AMI:SP:AQUAPN2,,Aquapôle,,2.302219,49.871066,,,0,AMI:SA:place_AQUA,,,0,
AMI:SP:ARTOI1,,Artois,,2.246384,49.911637,,,0,AMI:SA:place_ARTO,,,0,
AMI:SP:ARTOI2,,Artois,,2.247368,49.911724,,,0,AMI:SA:place_ARTO,,,0,
AMI:SP:AVASS1,,Alexandre Vasseur,,2.380162,49.848913,,,0,AMI:SA:place_AVAS,,,0,
AMI:SP:AVASS2,,Alexandre Vasseur,,2.379968,49.84903,,,0,AMI:SA:place_AVAS,,,0,
AMI:SP:BARREN1,,Place la Barre,,2.257411,49.91046,,,0,AMI:SA:place_BARR,,,0,
AMI:SP:BARREN2,,Place la Barre,,2.257968,49.910191,,,0,AMI:SA:place_BARR,,,0,
AMI:SP:BASSELL,,De la Basse Selle,,2.23457,49.855117,,,0,AMI:SA:place_BASS,,,0,
AMI:SP:BDORG1,,Dorgelès,,2.400839,49.849434,,,0,AMI:SA:place_BDOR,,,0,
AMI:SP:BDORG2,,Dorgelès,,2.400533,49.849254,,,0,AMI:SA:place_BDOR,,,0,
AMI:SP:BEAQU1,,Beauquesne,,2.313838,49.94943,,,0,AMI:SA:place_BEAQ,,,0,
AMI:SP:BEAQU2,,Beauquesne,,2.314172,49.949906,,,0,AMI:SA:place_BEAQ,,,0,
AMI:SP:BLTAC1,,La Blanche Tâche,,2.340938,49.900296,,,0,AMI:SA:place_BLTA,,,0,
AMI:SP:BLTAC2,,La Blanche Tâche,,2.34091,49.90034,,,0,AMI:SA:place_BLTA,,,0,
AMI:SP:BRANLN1,,Nicole Fontaine quai D,,2.29013,49.889288,,,0,AMI:SA:place_BRA,,,0,
AMI:SP:BRANLN2,,Nicole Fontaine quai C,,2.290574,49.889746,,,0,AMI:SA:place_BRA,,,0,
AMI:SP:CAMIRO,,Camon Miroir,,2.364089,49.888531,,,0,AMI:SA:place_CAMI,,,0,
AMI:SP:CAMPI1,,Camping,,2.259926,49.920795,,,0,AMI:SA:place_CMPG,,,0,
AMI:SP:CAMPI2,,Camping,,2.259801,49.920705,,,0,AMI:SA:place_CMPG,,,0,
AMI:SP:CAMPUN1,,Campus quai C,,2.264637,49.873779,,,0,AMI:SA:place_CAM,,,0,
AMI:SP:CAMPUN4,,Campus quai A,,2.264678,49.874506,,,0,AMI:SA:place_CAM,,,0,
AMI:SP:CATEU1,,Cateuse,,2.246505,49.882862,,,0,AMI:SA:place_CATE,,,0,
AMI:SP:CATEU2,,Cateuse,,2.246352,49.882915,,,0,AMI:SA:place_CATE,,,0,
AMI:SP:CEGLIS,,Eglise de Camon,,2.346405,49.88734,,,0,AMI:SA:place_CEGL,,,0,
AMI:SP:CESEL1,,Collège Edouard Lucas,,2.269759,49.898535,,,0,AMI:SA:place_CESE,,,0,
AMI:SP:CESEL2,,Collège Edouard Lucas,,2.269299,49.899082,,,0,AMI:SA:place_CESE,,,0,
AMI:SP:CESEL3,,Collège Edouard Lucas,,2.269549,49.89868,,,0,AMI:SA:place_CESE,,,0,
AMI:SP:CETOUN1,,Collège Rosa Parks,,2.251602,49.917189,,,0,AMI:SA:place_CETO,,,0,
AMI:SP:CETOUN2,,Collège Rosa Parks,,2.25138,49.917117,,,0,AMI:SA:place_CETO,,,0,
AMI:SP:CHARAN1,,Cité-Providence,,2.296656,49.878444,,,0,AMI:SA:place_CSIN,,,0,
AMI:SP:CHARAN2,,Cité-Providence,,2.29667,49.878543,,,0,AMI:SA:place_CSIN,,,0,
AMI:SP:CHARAN3,,Cité-Providence,,2.2956,49.879459,,,0,AMI:SA:place_CSIN,,,0,
AMI:SP:CHARAN4,,Cité-Providence,,2.297851,49.879208,,,0,AMI:SA:place_CSIN,,,0,
AMI:SP:CHATE1,,Château,,2.242803,49.878819,,,0,AMI:SA:place_CHAT,,,0,
AMI:SP:CHATE2,,Château,,2.242551,49.879698,,,0,AMI:SA:place_CHAT,,,0,
AMI:SP:CHLBAR,,Chevalier Labarre,,2.347468,49.885696,,,0,AMI:SA:place_CHBA,,,0,
AMI:SP:CIMACN1,,Rollin,,2.313094,49.876599,,,0,AMI:SA:place_CIMA,,,0,
AMI:SP:CIMACN2,,Rollin,,2.313052,49.876743,,,0,AMI:SA:place_CIMA,,,0,
AMI:SP:CITAD4,,Krüger,,2.294913,49.902982,,,0,AMI:SA:place_PKRU,,,0,
AMI:SP:CJMLA1,,Collège Jean-Marc Laurent,,2.311805,49.870933,,,0,AMI:SA:place_CJML,,,0,
AMI:SP:CJMLA2,,Collège Jean-Marc Laurent,,2.312319,49.870871,,,0,AMI:SA:place_CJML,,,0,
AMI:SP:CJOCU2,,Collège Joliot-Curie,,2.356724,49.873284,,,0,AMI:SA:place_CJOC,,,0,
AMI:SP:CJOCUR,,Collège Joliot-Curie,,2.356933,49.873048,,,0,AMI:SA:place_CJOC,,,0,
AMI:SP:CJVER2,,Collège Jules Verne,,2.325869,49.905296,,,0,AMI:SA:place_CJV1,,,0,
AMI:SP:CJVER3,,Collège Jules Verne,,2.326481,49.905197,,,0,AMI:SA:place_CJV1,,,0,
AMI:SP:CLASA,,Clairy-Saulchoix,,2.177013,49.857129,,,0,AMI:SA:place_CLSA,,,0,
AMI:SP:CLJEA1,,Clos Saint-Jean,,2.259202,49.885133,,,0,AMI:SA:place_CLJE,,,0,
AMI:SP:CLJEA2,,Clos Saint-Jean,,2.259167,49.88507,,,0,AMI:SA:place_CLJE,,,0,
AMI:SP:CMADE1,,Cimetière La Madeleine,,2.282406,49.912503,,,0,AMI:SA:place_CMAD,,,0,
AMI:SP:CMADE2,,Cimetière La Madeleine,,2.281933,49.912924,,,0,AMI:SA:place_CMAD,,,0,
AMI:SP:COISY1,,Coisy,,2.316399,49.947464,,,0,AMI:SA:place_COIS,,,0,
AMI:SP:COISY2,,Coisy,,2.315843,49.946961,,,0,AMI:SA:place_COIS,,,0,
AMI:SP:COLBE1,,La Selle,,2.2647,49.888081,,,0,AMI:SA:place_COLB,,,0,
AMI:SP:COLBE2,,La Selle,,2.265464,49.888279,,,0,AMI:SA:place_COLB,,,0,
AMI:SP:CONTY1,,Conty,,2.240135,49.856828,,,0,AMI:SA:place_CONT,,,0,
AMI:SP:CONTY2,,Conty,,2.239609,49.856235,,,0,AMI:SA:place_CONT,,,0,
AMI:SP:CORBI1,,Corbie,,2.398171,49.848061,,,0,AMI:SA:place_CORB,,,0,
AMI:SP:CORBI2,,Corbie,,2.39863,49.848285,,,0,AMI:SA:place_CORB,,,0,
AMI:SP:CREU2,,Creuse,,2.163097,49.839707,,,0,AMI:SA:place_CRSE,,,0,
AMI:SP:CREUS,,Creuse,,2.163255,49.83944,,,0,AMI:SA:place_CRSE,,,0,
AMI:SP:CSAGEB,,Collège Sagebien,,2.290213,49.875039,,,0,AMI:SA:place_CSAG,,,0,
AMI:SP:CTPET1,,Cité Petit,,2.275675,49.879917,,,0,AMI:SA:place_CITP,,,0,
AMI:SP:CTPET2,,Cité Petit,,2.275647,49.879836,,,0,AMI:SA:place_CITP,,,0,
AMI:SP:DCASA1,,Danielle Casanova,,2.347886,49.890195,,,0,AMI:SA:place_DCAS,,,0,
AMI:SP:DCASA2,,Danielle Casanova,,2.348094,49.890392,,,0,AMI:SA:place_DCAS,,,0,
AMI:SP:DEBUS1,,Debussy,,2.317359,49.948766,,,0,AMI:SA:place_DEBU,,,0,
AMI:SP:DEBUS2,,Debussy,,2.317164,49.949036,,,0,AMI:SA:place_DEBU,,,0,
