from_stop_id,to_stop_id,transfer_type,min_transfer_time
AMI:SP:FLEGE2,AMI:SP:FLEGE1,2,68
AMI:SP:GORLIN2,AMI:SP:RAIX1,2,282
AMI:SP:RTANK2,AMI:SP:VMAGN2,2,367
AMI:SP:SQMARN2,AMI:SP:ETOUVN2,2,403
AMI:SP:MACULN5,AMI:SP:MACULN6,2,92
AMI:SP:MATIFN2,AMI:SP:RICOR2,2,434
AMI:SP:CAGRI2,AMI:SP:CXROM2,2,266
AMI:SP:HPSDEN4,AMI:SP:HPLSU5,2,416
AMI:SP:PCAGNN1,AMI:SP:PCAGN1,2,159
AMI:SP:DEJEA2,AMI:SP:DEJEA1,2,87
AMI:SP:MGARD2,AMI:SP:MGARD1,2,117
AMI:SP:COISY1,AMI:SP:COISY2,2,158
AMI:SP:EGCIM2,AMI:SP:RGOUR1,2,432
AMI:SP:WAIDEN,AMI:SP:EGSLEU,2,315
AMI:SP:COLVEN1,AMI:SP:CAMBRN1,2,270
AMI:SP:CALMN1,AMI:SP:RAINE1,2,280
AMI:SP:LIBERN3,AMI:SP:LIBERN4,2,160
AMI:SP:CIFRAN2,AMI:SP:VAUBA2,2,403
AMI:SP:DCASA1,AMI:SP:VALLE1,2,264
AMI:SP:JCATEL1,AMI:SP:MSALE2,2,414
AMI:SP:RUNIV2,AMI:SP:RUNIV1,2,142
AMI:SP:AQUAPN2,AMI:SP:CHAGR2,2,296
AMI:SP:MANGE1,AMI:SP:QTOUR2,2,298
AMI:SP:FALAI2,AMI:SP:FALAI1,2,134
AMI:SP:CNEMON2,AMI:SP:CNEMON1,2,73
AMI:SP:CROIPIE2,AMI:SP:CROIPIE1,2,90
AMI:SP:HPLSU7,AMI:SP:HPLSU1,2,116
AMI:SP:TITIE2,AMI:SP:TITIE1,2,155
AMI:SP:THDEL1,AMI:SP:THDEL2,2,122
AMI:SP:DUCLO2,AMI:SP:STENDN1,2,244
AMI:SP:MANGE1,AMI:SP:CCNOR2,2,258
AMI:SP:ETOUVN1,AMI:SP:ETOUVN2,2,65
AMI:SP:WABCO1,AMI:SP:ADAPEI,2,190
AMI:SP:HPSDEN4,AMI:SP:HPSDEN3,2,66
AMI:SP:GARENC,AMI:SP:GARER2,2,381
AMI:SP:EGPIE1,AMI:SP:VAUBA2,2,359
AMI:SP:LUFOUN1,AMI:SP:TIVOL2,2,431
AMI:SP:CMARTN1,AMI:SP:DESMO2,2,386
AMI:SP:CHAPIN1,AMI:SP:EGREN2,2,310
AMI:SP:MBARB1,AMI:SP:AVASS1,2,439
AMI:SP:TRIOL2,AMI:SP:TRIOL1,2,109
AMI:SP:WATTE2,AMI:SP:MGARD2,2,257
AMI:SP:REVEL2,AMI:SP:REVEL1,2,70
AMI:SP:QTOUR2,AMI:SP:MANGE1,2,298
AMI:SP:ILOT2,AMI:SP:ACACI2,2,379
AMI:SP:PFORT2,AMI:SP:BEAUM2,2,315
AMI:SP:TZYGLPL,AMI:SP:TZYGLEC,2,417
AMI:SP:MARRE1,AMI:SP:BEAUM1,2,366
AMI:SP:TERRI2,AMI:SP:NEUVI2,2,275
AMI:SP:PNORDN4,AMI:SP:CHARDN2,2,322
AMI:SP:BRETES1,AMI:SP:PVOGEN5,2,260
AMI:SP:SANTEN2,AMI:SP:PNORDN4,2,310
AMI:SP:MANGE1,AMI:SP:QTOUR1,2,286
AMI:SP:PJEAN1,AMI:SP:PJEAN2,2,153
AMI:SP:CMARTN2,AMI:SP:CMARTN1,2,81
AMI:SP:CLEMEN1,AMI:SP:BERLIN2,2,393
AMI:SP:TRIOL1,AMI:SP:CGMARN2,2,266
AMI:SP:PICOR1,AMI:SP:STSAU2,2,383
AMI:SP:RGOBLN1,AMI:SP:GAREND,2,392
AMI:SP:MSALO2,AMI:SP:AFRAN1,2,325
AMI:SP:TZYGLEC,AMI:SP:TZYGLPL,2,417
AMI:SP:WATTE1,AMI:SP:MGARD2,2,307
AMI:SP:PCPIE3,AMI:SP:PCPIEN1,2,151
AMI:SP:RUNIV1,AMI:SP:JMOUL1,2,361
AMI:SP:LIBERN5,AMI:SP:STRAS1,2,389
AMI:SP:CJEAN2,AMI:SP:RROUEN1,2,347
AMI:SP:MANGE1,AMI:SP:CCNOR5,2,285
AMI:SP:LMICH2,AMI:SP:PLIBE2,2,340
AMI:SP:VAUBA2,AMI:SP:VAUBA1,2,109
AMI:SP:CJMLA1,AMI:SP:CJMLA2,2,124
AMI:SP:SQLAC6,AMI:SP:CONDO3,2,183
AMI:SP:FENEL2,AMI:SP:FENEL1,2,127
AMI:SP:HPSDEN4,AMI:SP:HPSDEN5,2,66
AMI:SP:ARTOI2,AMI:SP:ETOUVN2,2,389
AMI:SP:CIMONN1,AMI:SP:CIMONN6,2,159
AMI:SP:HPLSU6,AMI:SP:HPSDEN4,2,435
AMI:SP:VALEO2,AMI:SP:GOODY2,2,439
AMI:SP:PAIXN2,AMI:SP:CHARDN1,2,312
AMI:SP:REMBA2,AMI:SP:COLBEN1,2,384
AMI:SP:EGSLEU,AMI:SP:UPJVN1,2,314
AMI:SP:MRIVE2,AMI:SP:DCORD1,2,432
AMI:SP:VOLTA1,AMI:SP:DUCLO1,2,304
AMI:SP:TINTO1,AMI:SP:QTOUR2,2,274
AMI:SP:RROUEN1,AMI:SP:CJEAN2,2,347
AMI:SP:POIDEN1,AMI:SP:CJOCU2,2,379
AMI:SP:AQUAPN4,AMI:SP:AQUAPN3,2,79
AMI:SP:MANGE2,AMI:SP:CCNOR5,2,287
AMI:SP:PVOGEN3,AMI:SP:PVOGEN5,2,147
