route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
AMI:L-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282118-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_16,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283144-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_45,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283145-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_45,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7302857-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_44,0,0
AMI:6-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7289599-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_30,0,0
AMI:6-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7289598-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_30,0,0
AMI:6-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7289597-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_30,0,0
AMI:6-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7289596-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_30,0,0
AMI:6-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7289595-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_30,0,0
AMI:6-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7289594-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_30,0,0
AMI:6-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7289593-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_30,0,0
AMI:6-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7289592-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_30,0,0
AMI:6-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7289591-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_30,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7288483-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_48,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7288482-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_7,0,0
AMI:13-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7287291-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_3,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284760-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_42,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284759-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_42,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284758-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_42,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284757-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_42,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284756-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_42,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284755-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_42,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284754-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_42,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284753-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_42,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284752-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_42,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284751-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_42,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284750-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_42,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284749-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_42,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284748-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_42,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284747-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_42,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284746-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_42,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284745-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_49,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284744-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_49,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284743-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_49,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284742-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_49,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284741-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_49,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284740-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_49,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284739-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_49,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284738-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_49,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284737-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_49,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284736-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_49,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284735-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_49,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284734-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_49,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284733-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_49,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284732-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_49,0,0
AMI:N4-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7284731-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_49,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283810-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_7,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283809-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_7,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283808-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_7,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283807-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_7,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283806-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_7,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283805-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_7,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283804-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_7,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283803-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_7,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283802-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_7,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283801-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_7,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283800-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_7,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283799-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_7,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283798-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_7,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283797-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_7,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283796-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_7,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283795-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_7,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283794-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_7,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283793-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_7,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283792-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_48,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283791-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_48,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283790-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_48,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283789-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_48,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283788-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_48,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283787-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_48,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283786-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_48,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283785-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_48,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283784-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_48,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283783-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_48,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283782-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_48,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283781-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_48,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283780-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_48,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283779-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_48,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283778-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_48,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283777-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_48,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283776-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_48,0,0
AMI:N3-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283775-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_48,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283174-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_33,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283173-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_33,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283172-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_33,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283171-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_33,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283170-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_33,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283169-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_33,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283168-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_33,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283167-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_33,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283166-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_34,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283165-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_34,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283164-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_34,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283163-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_34,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283162-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_34,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283161-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_34,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283160-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_34,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283159-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_34,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283158-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_34,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283157-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_34,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283155-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_44,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283154-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_44,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283153-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_44,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283152-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_44,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283151-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_44,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283150-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_44,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283149-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_44,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283148-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_44,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283147-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_45,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283146-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_45,0,0
AMI:L-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282092-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_10,0,0
AMI:L-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282091-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_10,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283143-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_45,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283142-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_45,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283141-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_45,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283140-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_45,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283139-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_45,0,0
AMI:N2-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7283138-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_45,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282893-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_47,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282892-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_25,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282891-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_47,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282890-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_47,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282889-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_47,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282888-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_47,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282887-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_47,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282886-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_47,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282885-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_47,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282884-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_47,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282883-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_47,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282882-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_47,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282881-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_47,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282880-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_47,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282879-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_47,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282878-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_47,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282877-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_47,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282876-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_47,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282875-26E07-ETEDIM-Dimanche-000,Retour,,1,,AMI:shp_3_47,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282874-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_25,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282873-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_25,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282872-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_25,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282871-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_25,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282870-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_25,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282869-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_25,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282868-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_25,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282867-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_25,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282866-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_25,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282865-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_25,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282864-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_25,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282863-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_25,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282862-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_25,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282861-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_25,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282860-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_25,0,0
AMI:N1-1,AMI:26E07-ETEDIM-Dimanche-000,AMI:7282859-26E07-ETEDIM-Dimanche-000,Aller,,0,,AMI:shp_3_25,0,0
